Date,Open,High,Low,Close,Volume
03-01-2017,32.5815,32.5815,32.5815,32.5815,700
04-01-2017,37.4022,37.4022,37.4022,37.4022,8868
05-01-2017,42.971,42.971,38.2334,40.9762,764180
06-01-2017,43.3866,43.3866,36.5711,36.5711,250926
09-01-2017,38.3997,38.3997,34.0776,34.7425,159553
10-01-2017,34.7425,36.6542,32.6646,35.7399,129615
11-01-2017,35.1581,36.5711,34.9087,36.1555,91056
12-01-2017,35.9062,36.1555,35.3243,35.3243,113008
13-01-2017,35.2412,35.4074,34.9087,35.075,168714
16-01-2017,34.9088,34.9088,33.3296,34.0776,111337
17-01-2017,33.662,33.8283,32.8309,33.1633,163282
18-01-2017,32.8308,33.1633,31.5841,32.4153,115276
19-01-2017,32.2491,32.8309,31.8335,32.4153,67936
20-01-2017,31.9997,32.2491,31.4179,31.6672,172546
23-01-2017,31.5841,31.7503,31.4179,31.6672,95764
24-01-2017,31.5841,31.9997,31.5841,31.8335,92226
25-01-2017,31.6673,32.166,31.5842,31.9997,144059
02-02-2017,32.4153,32.4984,31.6672,32.3322,35528
03-02-2017,32.6647,32.914,32.0829,32.1659,191300
06-02-2017,32.4152,32.4152,31.8334,32.0828,86780
07-02-2017,31.9997,31.9997,31.5841,31.7503,131437
08-02-2017,31.5841,32.5815,31.5841,32.249,95870
09-02-2017,32.3321,32.3321,31.9997,32.1659,76107
10-02-2017,32.1659,35.7399,32.1659,35.6568,440047
13-02-2017,35.7399,37.236,35.3243,36.6542,281767
14-02-2017,36.7373,36.9867,35.1581,35.1581,239390
15-02-2017,34.9919,35.4906,34.3269,34.4932,364184
16-02-2017,34.5763,34.5763,32.7478,32.9971,583476
17-02-2017,32.6646,32.9971,32.3322,32.8309,765046
20-02-2017,33.3296,35.2413,32.8309,34.8256,2727835
21-02-2017,35.7399,35.7399,33.7451,33.9945,419088
22-02-2017,34.1607,34.1607,32.9971,33.4958,484550
23-02-2017,33.1633,33.1633,28.5088,29.8387,5427447
24-02-2017,30.5867,30.5867,26.0154,27.4283,6416518
27-02-2017,27.4283,31.2516,27.4283,31.2516,6787409
28-02-2017,33.2464,33.2464,27.4283,29.0906,4390004
01-03-2017,29.0906,29.6724,28.3426,28.9244,2181891
02-03-2017,29.0906,29.5893,28.4257,28.8413,1199643
03-03-2017,29.0075,29.7556,27.6777,28.2595,1844220
06-03-2017,28.2595,28.3426,26.8465,26.9296,2226822
07-03-2017,26.8465,28.675,25.3504,26.9296,1606464
08-03-2017,26.8465,28.2595,26.5971,27.8439,850130
09-03-2017,27.8439,28.1764,27.0959,27.2621,697404
10-03-2017,27.0959,27.4283,26.5141,26.7634,1113605
13-03-2017,26.7634,26.7634,25.9322,26.0153,1126914
14-03-2017,26.0984,26.1815,25.2673,25.4335,1815647
15-03-2017,25.5166,25.5997,24.2699,24.6855,1514931
16-03-2017,24.1037,25.6829,24.1037,25.5998,837681
17-03-2017,25.5167,26.3478,25.3505,25.6829,888349
20-03-2017,25.9322,25.9322,25.1011,25.6829,722569
21-03-2017,25.4336,26.0154,25.3504,25.6829,707840
22-03-2017,25.6829,26.0154,25.4336,25.5166,801100
23-03-2017,25.5997,25.9322,24.9348,25.2673,723036
24-03-2017,25.2673,25.5998,25.1011,25.3504,515510
27-03-2017,25.2673,25.3504,24.8517,25.0179,714416
28-03-2017,25.0179,25.0179,24.4361,24.6855,670572
29-03-2017,24.7686,24.8517,24.0206,24.1037,981159
30-03-2017,24.2699,24.2699,23.1894,23.5219,1083200
31-03-2017,23.5219,24.0206,22.7739,23.4387,743160
03-04-2017,23.3556,24.8517,23.3556,24.1037,787730
04-04-2017,24.1868,24.1868,23.4388,23.4387,462781
05-04-2017,23.4387,23.5218,23.2725,23.3556,384033
07-04-2017,23.6881,23.6881,22.6076,22.6907,617184
10-04-2017,23.1894,23.1894,21.6102,21.6933,1163704
11-04-2017,21.6933,21.6933,21.1115,21.1946,643281
12-04-2017,21.1115,21.3608,20.5297,20.6128,707577
13-04-2017,20.6128,21.6102,20.1141,20.8621,704977
14-04-2017,20.8621,21.1946,20.779,21.0284,265111
17-04-2017,21.1946,22.7738,21.1946,22.0258,856975
18-04-2017,22.1089,22.7738,21.7765,22.6076,807280
19-04-2017,22.6076,23.2725,22.6076,23.1063,688810
20-04-2017,23.1063,23.1894,22.4414,22.6076,354266
21-04-2017,22.6076,22.6076,21.7764,21.8595,514320
24-04-2017,22.1088,22.1088,21.1115,21.1115,694551
25-04-2017,21.1946,21.6933,21.0284,21.2777,297319
26-04-2017,21.3608,21.8595,21.3608,21.6933,311740
27-04-2017,21.7764,21.8595,21.3608,21.5271,251207
28-04-2017,21.6102,21.6933,21.2778,21.4439,287002
03-05-2017,21.6101,21.7764,21.4439,21.5271,331400
04-05-2017,21.5271,21.6933,21.3609,21.6102,395410
05-05-2017,21.6933,21.6933,21.3609,21.3608,249106
08-05-2017,21.6101,22.3582,21.6101,22.1089,799336
09-05-2017,22.2751,22.2751,21.8596,21.9426,430956
10-05-2017,21.9426,22.4413,21.6933,22.3582,794571
11-05-2017,22.2751,23.6881,22.1089,23.3556,1031512
12-05-2017,23.4387,24.6023,23.4387,24.1037,1075746
15-05-2017,24.2699,24.2699,23.5219,23.6881,734980
16-05-2017,23.605,23.6881,23.1063,23.4387,1031675
17-05-2017,23.2725,23.7712,23.1894,23.2725,401570
18-05-2017,23.2725,23.605,23.0232,23.2725,562076
19-05-2017,23.2725,23.3556,22.8569,22.94,377214
22-05-2017,23.0231,23.1893,22.94,23.0232,355166
23-05-2017,23.0232,23.1894,22.192,22.3582,600933
24-05-2017,22.4413,22.4413,21.7764,22.0258,501970
25-05-2017,22.0258,22.5245,22.0258,22.3582,198959
26-05-2017,22.3582,22.4413,21.9426,22.192,211820
29-05-2017,22.0258,22.2751,22.0258,22.192,241491
30-05-2017,21.9427,22.192,21.8595,21.9426,337461
31-05-2017,22.0257,22.0257,21.8595,21.8595,263491
01-06-2017,21.9426,22.4413,21.9426,22.192,326857
02-06-2017,22.192,22.2751,22.0258,22.1089,136437
05-06-2017,21.9427,22.2751,21.9427,22.192,263050
06-06-2017,22.192,22.2751,22.0258,22.0258,257036
07-06-2017,22.1089,22.192,22.0258,22.1089,238549
08-06-2017,22.2751,23.2725,22.192,23.2725,875732
09-06-2017,22.94,23.605,22.7738,22.8569,372451
12-06-2017,22.6907,22.8569,21.9426,22.3582,473895
13-06-2017,22.3582,22.6907,22.192,22.2751,365658
14-06-2017,22.3582,22.6076,22.192,22.2751,230554
15-06-2017,22.192,22.4413,22.0258,22.192,246495
16-06-2017,22.192,22.7738,22.1089,22.6076,241990
19-06-2017,22.6907,22.6907,22.2751,22.3582,184599
20-06-2017,22.192,22.6075,22.192,22.3582,422340
21-06-2017,22.4413,22.4413,22.1089,22.1089,319507
22-06-2017,22.192,22.4414,22.192,22.3582,307832
23-06-2017,22.3582,22.4413,22.192,22.192,239681
26-06-2017,22.2751,22.3582,22.0258,22.192,294021
27-06-2017,22.192,22.2751,22.0258,22.1089,268444
28-06-2017,22.1089,22.192,21.9427,22.192,380320
29-06-2017,22.1089,22.192,22.0258,22.1089,107000
30-06-2017,22.1089,22.1089,22.0258,22.1089,355273
03-07-2017,22.1089,22.192,22.0258,22.1089,229820
04-07-2017,20.779,22.7738,20.779,22.4413,577823
05-07-2017,22.4413,22.4413,22.192,22.192,145483
06-07-2017,22.192,22.2751,22.0258,22.1089,246225
07-07-2017,22.1089,22.1089,21.6102,22.0258,622576
10-07-2017,21.9427,22.0258,21.7765,21.9426,389680
11-07-2017,21.9426,22.0257,21.8595,22.0258,432320
12-07-2017,22.1089,22.1089,22.0258,22.0258,296501
13-07-2017,22.0258,22.192,22.0258,22.0258,172620
14-07-2017,22.0258,22.1089,22.0258,22.0258,236179
17-07-2017,22.1089,22.1089,21.8596,22.0258,319680
18-07-2017,22.0258,22.0258,21.7765,21.9426,277634
19-07-2017,21.9426,21.9426,21.7764,21.8595,254920
20-07-2017,21.8595,21.9426,21.6933,21.6933,149203
21-07-2017,21.6933,21.7764,21.5271,21.6933,270100
24-07-2017,21.8595,22.0258,21.5271,21.8595,173887
25-07-2017,21.6102,22.1088,21.6102,21.8595,164348
26-07-2017,21.6933,22.0257,21.6933,21.9426,232624
27-07-2017,21.9426,22.0257,21.8595,21.9426,146910
28-07-2017,21.8595,21.9426,21.6933,21.7764,100290
31-07-2017,21.9426,21.9426,21.6933,21.6933,90730
01-08-2017,21.7764,21.9426,21.6102,21.7764,79352
02-08-2017,21.6933,21.6933,21.5271,21.6102,170240
03-08-2017,21.6102,21.6102,21.1115,21.1946,577120
04-08-2017,21.1946,21.4439,21.1115,21.2777,77340
07-08-2017,21.2777,21.527,21.1946,21.5271,149962
08-08-2017,21.444,21.5271,21.1115,21.2777,158350
09-08-2017,21.2777,21.2777,20.8621,21.0284,187750
10-08-2017,21.1115,21.1115,20.7791,20.9453,171695
11-08-2017,20.9453,20.9453,20.7791,20.8621,87100
14-08-2017,20.9452,20.9452,20.779,20.8621,82690
15-08-2017,20.8621,20.9452,20.779,20.779,64852
16-08-2017,20.8621,20.8621,20.6959,20.779,86691
